Position,Age,Prof,Det,Amb,Mins,Av Rat,Imp M,Pres,Cons,Ada,Inj Pr,WR,CA,PA,Training facilities,Div Rep,FCA
"AM (RC), ST (C)",19.392197125256672,14,14,12,2021,7.22,12,12,12,14,4,4000,110,135,19,87,116
"AM (RL), ST (C)",22.628336755646817,13,8,11,0,0.0,11,11,9,17,8,1800,92,110,13,158,92
D/WB (L),22.754277891854894,10,17,11,148,6.83,10,10,9,7,12,550,66,85,10,86,66
"AM (RLC), ST (C)",20.265571526351813,13,17,12,0,0.0,6,14,8,12,8,750,67,89,8,110,74
D/WB (R),22.666666666666668,11,9,13,2270,6.7,7,10,10,12,11,600,67,85,9,86,69
AM (RL),19.227926078028748,12,15,13,2811,7.11,11,15,13,12,8,6000,141,155,13,178,141
"AM (L), ST (C)",25.571526351813826,12,12,12,1904,6.58,4,11,11,7,9,1100,84,97,5,66,84
D/WB (L),26.039698836413415,14,7,12,3005,6.54,13,10,12,17,6,1550,93,102,5,85,94
M/AM (C),27.8466803559206,12,14,13,1963,6.74,3,10,12,18,12,1000,82,87,4,66,81
ST (C),22.321697467488022,9,8,11,813,7.22,17,13,9,19,13,50,64,74,12,86,64
M (C),21.533196440793976,13,13,9,589,6.7,9,11,10,18,5,900,78,110,4,66,78
"AM (C), ST (C)",22.466803559206024,13,13,9,2552,6.87,13,13,13,12,7,2500,109,128,8,117,109
M/AM (RL),19.236139630390145,12,13,10,0,0.0,15,12,9,11,4,1100,79,82,11,120,79
M/AM (C),21.032169746748803,11,12,13,231,6.73,12,11,13,11,5,2200,100,118,8,110,100
ST (C),19.690622861054074,12,13,11,220,7.08,13,11,16,17,6,1750,98,132,12,104,100
D/WB/M (L),19.550992470910334,11,8,8,715,6.77,12,11,11,16,8,1400,85,123,14,85,86
ST (C),22.425735797399042,10,2,12,6,0.0,11,12,10,18,9,250,60,85,13,94,61
ST (C),19.34839151266256,15,15,17,1169,6.84,14,13,10,14,15,2500,95,108,18,96,98
AM (RL),19.82751540041068,9,9,10,345,6.59,12,12,10,11,7,3500,102,136,11,147,102
M (C),19.512662559890487,12,10,10,12,0.0,1,12,10,15,12,1250,80,137,14,86,82
AM (RL),20.947296372347708,11,13,10,761,6.75,4,10,12,15,14,1000,75,112,14,86,75
D/WB (R),20.62696783025325,13,13,11,1966,6.83,10,10,11,12,10,3600,114,137,16,158,116
M (C),19.64681724845996,12,6,9,0,0.0,8,13,14,16,15,1000,75,137,12,104,78
"M (L), AM (LC)",22.90759753593429,13,14,10,0,0.0,7,8,12,10,11,600,67,87,9,86,67
"DM, M (C)",19.052703627652292,12,3,12,0,0.0,2,9,8,16,13,1650,77,123,17,160,78
"AM (L), ST (C)",21.234770704996578,10,6,14,1066,7.04,12,9,11,18,8,2500,105,125,15,117,105
ST (C),19.813826146475016,12,12,13,0,0.0,16,12,8,19,8,2500,93,101,17,185,93
M (C),22.677618069815196,11,16,12,74,7.2,19,14,19,7,8,1050,76,96,10,86,76
D (C),21.853524982888434,11,7,13,2766,6.78,8,13,9,16,7,1650,83,110,1,73,85
D (C),20.49281314168378,13,4,10,2360,6.94,9,14,10,13,5,1500,80,106,1,73,88
M (C),19.797399041752225,11,10,10,108,6.77,11,12,11,12,5,1750,91,127,14,158,92
D (C),19.225188227241617,13,7,10,0,0.0,12,12,10,13,7,600,67,113,12,104,69
D/WB (L),19.696098562628336,9,14,11,2932,6.88,14,12,6,19,8,600,67,75,8,86,67
"AM (RL), ST (C)",24.815879534565365,13,10,12,549,6.62,13,9,10,19,6,1300,81,95,12,94,82
M/AM (C),19.854893908281998,10,13,11,3003,6.83,16,10,12,17,5,2800,96,127,8,87,100
AM (RL),19.83025325119781,14,15,12,1170,6.71,10,13,12,19,5,4050,121,137,16,161,125
"D/WB/M (R), AM (RC), ST (C)",22.072553045859,13,5,11,2930,6.84,4,10,15,13,5,2150,93,104,8,73,93
"AM (RL), ST (C)",19.498973305954827,11,14,11,3361,6.88,13,10,3,7,5,3700,104,129,14,104,115
D/WB (RL),19.208761122518823,13,12,12,1299,6.75,12,13,14,12,8,2350,102,160,3,104,114
D/WB (L),21.809719370294317,9,12,13,339,6.71,5,11,8,14,9,1750,90,120,14,104,90
"D (RL), WB (R)",22.78713210130048,10,11,10,2479,6.76,10,8,9,14,7,1400,83,105,10,94,89
D/WB/M (L),21.749486652977414,12,11,11,1983,6.83,12,10,9,12,14,1700,89,109,8,86,89
"M (C), AM (RLC)",19.71526351813826,9,8,10,540,6.78,12,9,8,13,9,1950,77,89,15,185,82
D (C),23.43600273785079,11,16,11,480,6.84,11,11,11,16,9,1450,84,104,12,94,84
D/WB (L),19.19233401779603,9,13,12,2239,6.81,9,9,10,14,7,3500,109,145,15,94,109
"M (L), AM (RL), ST (C)",19.4031485284052,14,12,10,439,7.07,11,12,13,8,8,1900,92,111,12,160,98
ST (C),19.71252566735113,10,14,9,299,6.8,10,11,11,20,9,2750,104,132,13,160,104
M (C),19.274469541409992,12,9,11,0,0.0,2,11,10,15,10,750,65,103,18,158,68
D/WB (L),21.130732375085557,10,7,11,625,6.66,11,13,9,17,11,1000,75,119,11,86,76
"WB/M/AM (R), ST (C)",20.438056125941138,16,12,12,1759,6.74,11,9,10,10,7,4300,112,128,1,116,113
"DM, M/AM (C)",20.470910335386723,14,11,13,2372,6.86,12,10,12,7,9,3650,103,117,12,140,111
ST (C),23.27173169062286,11,16,11,0,0.0,6,10,14,7,7,50,42,67,13,86,44
ST (C),23.32101300479124,13,15,12,2644,7.16,10,12,12,17,6,1800,91,106,13,94,91
GK,19.37577002053388,11,12,11,0,0.0,8,12,11,20,6,2500,95,140,18,160,98
"D (LC), WB (L), DM",19.20602327173169,10,12,11,500,6.77,8,11,15,20,13,2500,83,136,18,160,83
"DM, M (RC)",19.364818617385353,14,12,10,284,6.67,12,11,19,16,13,1350,76,107,8,110,80
"D (RC), DM, M (C)",19.16495550992471,9,12,11,0,0.0,9,11,11,16,8,2000,91,113,17,160,92
ST (C),19.444216290212182,10,9,12,1004,6.58,9,19,12,11,9,3250,106,110,11,160,106
"AM (LC), ST (C)",19.277207392197127,12,12,12,883,6.8,12,12,13,12,8,1750,103,134,17,173,104
"M (C), AM (RLC)",20.10403832991102,10,9,17,878,6.88,14,12,9,16,9,5550,126,156,18,178,130
GK,19.000684462696782,12,13,13,900,6.78,7,11,9,19,7,3250,118,150,18,160,122
D (LC),19.017111567419576,11,12,11,0,0.0,6,10,10,15,11,1500,83,105,18,160,85
"D (RLC), WB (RL)",19.42778918548939,13,12,9,169,6.72,13,12,16,7,5,1750,87,101,16,110,87
D (C),19.197809719370294,10,10,12,1207,6.87,12,12,13,13,7,3150,115,148,18,160,124
D (C),19.06091718001369,11,10,9,522,6.86,15,9,13,11,5,2900,117,143,18,160,120
M/AM (C),19.72621492128679,10,8,15,0,0.0,2,10,12,17,8,1200,85,120,17,185,87
D (C),22.234086242299796,9,14,10,20,6.9,10,10,13,13,12,2000,105,135,11,120,105
ST (C),21.125256673511295,9,8,11,2662,6.71,10,10,10,8,5,3500,105,130,12,110,110
"D (RC), WB (R)",23.21423682409309,12,15,12,42,6.7,14,12,10,15,9,1650,92,108,12,110,92
"AM (RLC), ST (C)",20.243668720054757,9,10,10,3045,7.12,10,9,10,10,12,2000,102,138,12,104,113
D (RC),31.40041067761807,13,6,12,45,6.9,11,11,9,19,7,850,70,85,4,66,69
"D (C), DM, M/AM (C)",19.408624229979466,12,10,11,510,6.78,12,10,8,8,10,3000,111,147,18,160,117
"DM, M (RLC), AM (C)",19.06091718001369,11,10,10,0,0.0,15,13,10,17,11,1500,80,110,18,160,83
M/AM (C),19.249828884325805,13,10,11,0,0.0,11,10,15,16,5,1600,89,115,18,160,92
"DM, M/AM (C)",18.902121834360027,12,10,12,2380,7.08,12,11,12,13,5,2250,105,152,18,160,112
"AM (RL), ST (C)",19.42778918548939,6,12,8,1144,6.71,10,7,8,13,5,3850,114,150,18,160,120
"AM (RLC), ST (C)",19.392197125256672,9,12,14,2351,6.94,6,13,17,8,7,3200,109,137,18,160,113
"AM (RLC), ST (C)",19.006160164271048,12,10,10,20,0.0,3,8,8,20,8,2000,85,107,18,160,89
"D (RL), WB (L)",24.317590691307323,12,16,10,2752,6.63,11,12,11,16,6,1600,97,104,5,85,97
GK,22.49965776865161,12,9,11,0,0.0,13,12,5,19,8,1300,76,105,9,73,77
GK,19.11567419575633,9,13,13,270,6.63,16,10,11,11,7,2600,97,116,18,160,97
D (C),20.50650239561944,13,16,13,765,6.86,7,13,12,7,8,2250,103,139,17,147,107
D/WB/M/AM (L),21.872689938398356,14,13,11,1242,6.66,17,9,12,16,7,2250,95,117,2,87,95
D (C),19.789185489390828,12,11,10,3359,6.78,8,10,10,16,6,2750,98,132,8,110,113
D (C),19.471594798083505,11,14,13,262,6.8,11,8,10,9,4,4600,122,155,14,116,123
"M (R), AM (RL), ST (C)",23.534565366187543,11,8,12,2477,6.96,6,11,9,17,5,2450,99,109,12,96,99
D/WB (L),20.67624914442163,8,13,9,2316,6.64,16,10,14,20,5,4400,111,139,13,147,111
M/AM (C),25.215605749486652,12,15,13,482,6.93,12,9,13,10,5,2350,97,115,14,73,97
M (C),27.813826146475016,13,13,12,174,7.05,10,10,12,14,8,2500,110,120,12,117,110
M/AM (RL),18.899383983572896,13,13,17,164,6.74,12,11,12,12,13,5750,132,150,19,173,132
GK,19.340177960301162,12,13,12,0,0.0,8,11,11,14,7,2250,95,118,17,160,95
"DM, M/AM (C)",25.7741273100616,10,18,9,230,6.52,6,13,17,7,5,1250,75,85,4,91,75
"AM (RL), ST (C)",25.867214236824093,10,12,13,2622,6.9,8,11,12,8,9,2500,101,108,5,85,101
AM (RL),22.38740588637919,11,5,10,656,6.53,12,9,18,13,10,150,58,74,12,86,60
M (C),22.028747433264886,12,4,13,0,0.0,7,12,11,11,6,1000,80,100,5,66,80
AM (RL),21.711156741957563,13,5,12,466,6.88,4,8,10,18,13,1750,99,122,5,66,99
"DM, M (C)",21.77138945927447,12,13,12,2581,6.77,10,12,12,12,10,4000,125,148,10,120,125
GK,21.53867214236824,11,9,11,2520,6.74,8,12,11,16,13,1000,73,90,13,86,85
"DM, M (C)",21.22655715263518,10,4,11,918,6.57,6,11,7,9,9,2100,93,120,7,80,93
"M (C), AM (RC)",20.35318275154004,8,12,11,299,6.79,9,9,8,10,13,1000,77,99,11,85,83
D (LC),19.430527036276523,9,5,9,1755,6.94,13,11,18,16,7,800,77,99,11,117,78
D/WB (R),19.345653661875428,10,16,15,1085,6.76,10,15,11,13,5,3000,105,125,18,160,106
"M (C), AM (RLC)",20.202600958247775,13,12,9,117,6.77,13,11,13,11,10,2250,108,119,11,120,108
"DM, M/AM (C)",22.47501711156742,12,12,10,2494,6.92,8,12,11,14,5,1750,88,108,10,94,93
"D/WB (L), AM (RL)",19.808350444900753,11,11,12,3072,6.62,13,10,15,14,5,4500,111,137,11,107,116
D/WB (R),20.76933607118412,10,14,10,75,6.9,9,8,12,11,12,1600,90,110,10,160,90
D (RC),19.67145790554415,13,12,9,4145,6.82,10,14,18,7,9,1050,79,115,5,46,80
GK,22.17385352498289,10,11,14,0,0.0,2,13,20,9,13,50,55,74,10,86,55
D (C),19.942505133470227,13,14,11,24,6.6,10,12,11,8,8,3500,112,143,12,161,115
D/WB/M/AM (R),22.34360027378508,12,5,11,614,6.66,12,8,12,14,10,1750,85,105,8,73,85
GK,19.550992470910334,8,8,11,0,0.0,10,9,7,17,5,1500,65,113,18,134,67
GK,19.66324435318275,12,16,9,0,0.0,11,12,11,18,6,1000,67,113,13,107,73
D/WB (RL),19.540041067761805,13,15,10,3277,7.0,7,12,20,16,10,2000,85,114,7,85,94
DM,23.488021902806295,14,12,11,2902,6.96,12,12,14,10,12,1500,119,127,14,147,119
AM (C),23.02258726899384,13,12,12,2907,6.87,11,11,13,9,11,3750,113,125,12,147,112
AM (RLC),18.899383983572896,12,12,11,401,6.62,11,12,10,18,6,1750,85,109,10,130,86
M (C),24.164271047227928,9,14,11,1899,6.9,8,13,9,13,10,1000,81,97,4,66,81
M/AM (R),22.69678302532512,11,5,11,455,7.4,13,12,11,16,5,1000,79,105,5,66,79
AM (RL),21.27310061601643,12,13,10,2508,6.73,10,10,13,11,4,1500,93,119,8,80,97
"DM, M (C)",28.407939767282684,11,4,12,2041,6.92,4,10,11,8,12,1000,80,85,2,66,78
D (R),23.460643394934976,11,13,8,488,6.67,6,13,20,17,9,1000,81,98,3,66,81
D (C),29.776865160848732,12,11,10,0,0.0,5,14,9,18,13,800,76,83,5,66,76
M/AM (C),19.370294318959616,10,13,11,1015,6.9,18,11,20,19,6,3250,99,132,9,134,99
"DM, M (C)",19.477070499657767,9,7,13,45,6.5,3,12,10,10,8,1000,68,116,12,158,76
D (C),19.28268309377139,12,16,12,100,6.4,15,10,12,15,5,1250,80,120,1,104,84
"AM (C), ST (C)",19.24435318275154,12,13,12,713,6.57,14,11,10,12,5,2000,95,146,1,104,97
AM (RL),18.60643394934976,12,4,12,99,6.93,6,11,8,7,6,1000,86,115,12,96,88
D (C),19.59479808350445,13,17,11,34,6.9,11,11,12,12,10,3000,106,130,20,185,114
D (LC),19.696098562628336,9,12,10,121,6.6,5,11,10,18,9,1750,71,121,16,134,83
"M (C), AM (LC)",20.865160848733744,12,7,10,274,6.56,3,11,10,19,5,800,71,99,15,86,73
D (C),22.48596851471595,9,10,12,0,0.0,3,12,17,19,6,750,64,75,8,158,64
GK,19.5564681724846,10,7,9,0,0.0,9,12,15,17,6,1750,73,86,19,134,73
GK,19.761806981519506,9,12,9,0,0.0,14,11,14,19,11,1750,75,98,20,185,85
ST (C),19.42778918548939,10,8,13,601,6.67,13,12,13,12,5,2350,97,129,11,104,98
D (C),21.587953456536617,12,8,11,2286,6.65,6,11,10,17,10,1550,89,105,8,110,89
GK,22.77344284736482,10,17,10,3150,6.81,3,11,12,9,5,1000,82,98,12,85,82
AM (RLC),18.951403148528406,12,10,10,23,7.6,6,9,15,20,12,2500,106,139,17,185,117
GK,20.878850102669404,10,10,12,0,0.0,11,9,10,7,11,1250,78,100,16,110,78
D/WB/M/AM (R),21.697467488021903,9,12,9,980,6.73,1,10,8,9,6,1750,97,114,8,110,97
GK,23.619438740588638,11,8,12,2340,6.79,14,10,12,12,14,600,73,89,3,66,73
D (LC),23.698836413415467,9,14,8,2340,6.59,6,10,7,10,12,1050,87,108,6,66,87
M/AM (RL),27.025325119780973,9,9,11,45,6.5,15,12,20,9,10,1750,80,90,5,91,80
GK,22.937713894592743,11,6,12,3180,6.75,18,10,15,19,7,2350,97,110,10,87,97
"AM (RL), ST (C)",22.354551676933607,12,13,12,2303,6.69,11,11,12,11,6,2000,122,133,13,158,126
"DM, M/AM (LC)",19.419575633127995,11,11,10,985,6.78,8,11,7,11,5,2750,107,134,13,160,113
"DM, M/AM (C)",19.318275154004105,12,15,10,18,6.7,17,12,20,11,10,2250,90,150,20,185,97
AM (RL),19.42778918548939,10,11,12,152,6.9,7,10,8,15,6,1400,81,127,18,120,88
ST (C),18.967830253251197,8,13,11,177,7.1,10,13,8,9,6,900,70,118,14,73,79
M (LC),19.069130732375086,13,15,16,2622,6.72,8,8,11,14,6,900,86,93,8,80,86
"D (C), DM",21.579739904175224,14,13,12,744,6.67,12,12,12,16,8,3000,118,143,16,161,120
D (C),23.110198494182068,11,8,12,0,0.0,8,11,10,20,9,750,70,84,12,94,71
"DM, M (C)",21.13347022587269,12,11,11,2110,6.9,8,10,10,20,5,1650,83,105,12,86,88
GK,21.806981519507186,11,6,12,810,6.69,13,10,13,20,11,2750,93,128,14,158,98
"D (C), DM, M (C)",21.94387405886379,13,4,11,2410,6.81,6,11,12,20,7,2300,98,121,13,94,102
M/AM (C),20.254620123203285,10,6,12,1562,6.92,12,13,13,12,6,1000,75,123,14,86,83
D (C),22.255989048596852,11,9,9,1902,6.73,1,11,17,9,5,700,69,89,10,86,71
"AM (RC), ST (C)",21.51403148528405,14,11,12,3046,6.71,8,9,11,13,7,1500,90,115,13,85,90
GK,19.761806981519506,8,17,10,1688,6.65,11,10,9,13,9,1250,75,111,14,86,84
AM (RL),19.42778918548939,11,8,12,0,0.0,9,8,7,18,7,650,68,92,12,104,74
"AM (RL), ST (C)",21.50034223134839,13,11,13,281,6.8,9,8,12,12,8,5250,138,160,18,185,138
M/AM (C),21.634496919917865,13,14,13,159,6.95,18,14,11,19,9,3350,113,142,16,117,113
"DM, M (C)",21.932922655715263,12,14,11,2920,6.86,13,13,20,19,7,2200,96,116,8,110,98
D (C),20.479123887748116,11,13,12,201,6.64,17,8,10,8,8,1750,77,89,10,96,84
D (C),19.446954140999317,11,16,10,0,0.0,9,10,17,8,11,1250,70,111,14,110,73
AM (L),20.88432580424367,11,8,12,0,0.0,9,14,13,7,13,2400,95,114,18,160,95
ST (C),18.89390828199863,15,14,9,568,6.97,15,13,16,16,13,2000,84,126,5,107,87
D/WB (L),19.627652292950035,14,15,15,2492,7.04,12,13,12,11,7,1500,93,111,17,173,93
ST (C),19.00889801505818,12,15,13,275,6.64,3,11,8,7,5,800,82,97,8,80,83
D/WB (R),18.962354551676935,14,11,9,1651,6.84,10,12,13,7,5,900,95,117,8,80,95
D/WB (L),19.356605065023956,13,10,13,474,6.78,8,11,12,10,7,1250,96,132,14,80,98
WB/M/AM (L),20.76933607118412,11,11,10,667,6.75,4,12,10,17,6,1650,96,107,8,110,96
ST (C),21.456536618754278,13,3,11,987,6.81,9,13,13,10,12,1500,103,105,12,96,104
"DM, M (C)",21.32785763175907,12,10,11,450,6.72,12,10,11,10,5,850,70,102,10,66,71
D (C),20.32854209445585,9,8,9,358,6.65,2,12,11,19,15,900,75,91,7,73,75
D/WB (L),21.675564681724847,13,4,10,760,6.78,16,12,14,9,5,3950,119,144,1,116,119
ST (C),20.23271731690623,13,13,12,636,6.76,9,9,20,13,7,3250,105,110,1,116,105
GK,21.00205338809035,12,8,8,3480,6.81,9,12,16,9,5,750,74,101,9,73,83
"AM (L), ST (C)",26.140999315537304,9,8,11,1339,6.76,11,10,12,16,6,950,74,85,12,94,74
M/AM (RL),24.802190280629706,8,12,13,2589,7.03,10,8,11,16,12,2450,101,113,9,94,101
D/WB (R),22.428473648186174,10,2,9,221,6.81,7,11,8,9,6,300,61,91,8,86,61
D (C),18.535249828884325,10,3,9,0,0.0,10,10,14,18,10,750,63,96,13,173,70
"WB/M (R), AM (RC)",21.61259411362081,15,16,9,2356,6.94,15,12,11,14,10,4000,112,135,17,147,114
D (R),20.229979466119097,13,14,12,3484,6.9,6,12,14,14,4,3500,113,136,10,107,115
"M (RL), AM (RLC)",19.367556468172484,10,15,13,2129,7.1,11,12,11,9,5,1750,96,131,11,96,98
"DM, M (C)",19.014373716632445,16,16,16,2983,7.04,13,15,14,16,6,4500,124,169,15,173,143
GK,19.444216290212182,16,13,14,0,0.0,7,10,13,10,4,1400,80,104,19,173,96
WB/AM (RL),19.019849418206707,9,15,10,0,0.0,14,10,13,7,9,2000,85,134,20,134,90
"AM (RL), ST (C)",19.693360711841205,11,10,11,596,6.7,6,12,7,10,8,1750,93,123,8,107,94
D (LC),20.216290212183434,12,13,12,90,6.75,10,8,8,14,6,1100,74,82,15,85,74
GK,20.802190280629706,11,13,10,2430,6.69,3,12,7,7,5,1250,80,100,11,94,85
D (C),19.329226557152634,11,16,10,59,6.7,8,14,12,19,10,1500,85,123,12,94,85
GK,20.788501026694046,10,11,12,525,6.87,1,11,13,14,13,1750,90,122,14,104,93
D (C),21.45927446954141,11,5,9,2223,6.83,3,10,20,15,8,1500,82,105,15,94,82
ST (C),19.983572895277206,11,10,12,45,6.3,7,12,13,20,10,2250,90,127,12,158,90
"AM (R), ST (C)",20.046543463381244,9,18,10,416,6.89,16,12,13,7,7,1500,88,136,14,104,92
M/AM (C),21.374401095140314,14,13,12,0,0.0,10,10,20,15,5,600,64,103,8,158,67
AM (RL),20.810403832991103,12,5,11,0,0.0,11,13,10,16,5,550,66,84,11,104,66
D/WB/AM (R),18.99520876112252,10,5,12,102,6.0,2,13,11,10,11,850,72,98,13,94,73
ST (C),19.356605065023956,11,7,11,0,0.0,13,9,10,15,9,600,65,113,13,158,73
D/WB (R),19.852156057494867,13,7,10,2538,6.89,8,11,10,20,13,1000,75,98,13,86,91
GK,20.40520191649555,9,14,10,2430,6.59,10,13,17,14,5,750,70,90,12,86,79
DM,19.315537303216974,13,7,9,0,0.0,1,11,11,8,8,600,63,95,13,158,64
M/AM (C),19.1813826146475,11,18,11,0,0.0,1,12,7,13,11,750,67,111,14,158,81
GK,19.43600273785079,11,9,11,0,0.0,4,11,10,13,9,1750,80,140,14,185,87
D/WB (R),19.238877481177276,8,15,9,0,0.0,9,10,8,20,13,1500,73,83,14,185,73
"DM, M (C)",19.805612594113622,11,15,14,3353,6.89,13,9,16,11,9,2750,105,116,8,107,106
"DM, M (C)",25.94387405886379,11,13,13,1795,6.65,3,13,11,18,10,2400,98,108,8,87,98
M (C),22.770704996577688,12,12,12,1542,6.75,12,11,9,16,13,3250,103,118,9,110,104
GK,19.143052703627653,10,15,11,0,0.0,11,9,12,18,7,2750,91,131,18,160,92
"D (C), DM",18.902121834360027,12,12,12,1158,6.67,10,12,10,16,8,2500,97,141,18,160,98
D/WB/M/AM (R),18.954140999315538,12,11,12,902,6.7,14,10,12,7,7,2250,95,124,18,160,97
"AM (R), ST (C)",21.965776865160848,14,12,13,2846,7.18,15,13,12,15,7,3000,116,132,14,117,116
"AM (L), ST (C)",19.227926078028748,8,9,8,0,0.0,1,13,8,8,11,1500,75,105,18,160,76
D (LC),19.028062970568104,11,11,12,639,6.58,12,9,20,18,5,1750,83,130,18,160,87
"M (C), AM (L)",19.085557837097877,11,9,12,0,0.0,12,10,14,10,11,1750,85,119,12,160,88
"DM, M (C)",23.200547570157426,12,12,11,6,0.0,11,10,12,10,11,1250,80,95,9,91,80
"DM, M (C)",25.360711841204655,18,13,12,2798,7.02,12,15,16,6,6,4100,123,128,10,125,123
"D (RC), WB (R)",19.50171115674196,9,12,14,27,6.9,6,12,6,9,13,1000,80,115,12,160,82
"DM, M/AM (C)",18.94866529774127,12,13,10,817,6.8,12,13,10,7,6,2000,95,113,18,160,95
"D (RL), WB/M (R)",21.76865160848734,11,15,12,1724,6.96,13,11,9,12,8,2250,96,114,11,94,96
"D (C), DM, M (C)",28.016427104722794,17,18,13,2718,7.05,13,15,16,12,12,3950,121,126,12,125,120
D (C),19.460643394934976,11,16,10,258,6.8,11,10,16,7,5,2000,90,147,3,104,91
D (C),28.076659822039698,11,1,13,2760,6.91,1,12,13,13,5,1650,83,97,8,73,83
GK,19.301848049281315,14,11,12,0,0.0,12,12,11,12,7,1850,83,113,16,173,86
D (C),19.21971252566735,13,10,10,3060,6.86,11,14,9,10,9,1200,94,130,5,80,94
"AM (R), ST (C)",19.222450376454482,12,8,12,0,0.0,8,12,9,12,10,1050,67,118,14,80,81
D (C),19.189596167008897,15,11,13,1718,6.93,12,12,13,13,5,2300,88,122,18,173,96
GK,18.598220396988363,10,13,12,0,0.0,9,10,10,10,7,1200,58,121,13,120,68
"D/WB (RL), DM, M (R)",19.266255989048595,10,10,7,522,6.83,11,10,11,8,5,1000,77,89,6,80,77
D/WB (L),20.26009582477755,9,10,7,160,6.6,13,7,9,9,5,950,82,92,8,80,82
AM (RL),18.524298425735797,14,11,14,888,6.69,10,13,11,16,8,2800,113,135,14,120,114
ST (C),19.485284052019164,13,12,12,78,6.55,7,12,8,14,5,1150,75,99,8,80,85
"AM (LC), ST (C)",19.340177960301162,12,13,9,146,6.6,11,10,11,9,5,1250,80,110,6,80,84
ST (C),19.290896646132786,14,13,15,2976,6.76,10,12,13,12,5,2000,110,144,12,120,126
M (C),19.444216290212182,14,13,13,75,6.73,7,10,10,12,6,900,78,101,8,80,85
D/WB/M (R),19.378507871321013,9,6,11,103,6.7,4,11,10,20,9,950,77,112,5,80,81
ST (C),18.548939082819988,10,12,9,99,6.5,11,8,10,11,12,900,73,83,6,80,73
M (C),19.000684462696782,9,10,13,0,0.0,3,11,10,17,9,900,58,85,10,173,62
D (C),19.15126625598905,12,9,13,0,0.0,14,12,10,20,14,350,52,63,6,80,53
D (C),20.355920602327174,9,9,13,2153,6.87,9,10,13,20,8,1250,92,109,8,80,92
GK,18.573579739904176,11,13,13,0,0.0,10,10,10,15,10,1000,78,99,18,173,80
"DM, M (C)",19.512662559890487,17,13,8,386,6.84,12,10,13,10,6,2750,124,169,14,173,130
M (C),19.38945927446954,19,18,16,2,0.0,13,17,15,6,4,1500,105,129,13,80,113
"D (LC), DM",21.987679671457904,9,1,10,2790,6.59,6,12,11,11,11,2200,88,113,14,96,91
M/AM (RC),22.088980150581794,15,14,16,1746,6.8,11,13,14,15,11,5250,126,148,17,160,134
"AM (LC), ST (C)",18.78713210130048,10,14,10,545,6.76,9,12,9,19,11,1250,69,95,5,80,78
M/AM (C),19.41409993155373,12,13,14,22,6.5,12,11,12,11,6,1050,85,120,8,80,85
D (RC),18.757015742642025,10,18,8,0,0.0,11,12,9,10,5,750,47,92,16,120,52
D/WB/M (R),19.23066392881588,11,6,9,0,0.0,2,12,7,12,11,700,56,107,8,120,66
"AM (RLC), ST (C)",19.353867214236825,12,12,12,1608,6.64,12,12,11,12,7,3000,119,151,10,173,128
GK,19.4031485284052,9,11,9,3060,6.67,5,12,10,20,7,1100,89,99,7,80,89
M/AM (LC),19.488021902806295,12,15,13,2744,6.92,12,8,12,13,8,2000,92,152,18,173,111
ST (C),19.40041067761807,10,11,11,0,0.0,2,12,10,10,14,850,66,71,12,173,66
D (C),19.145790554414784,12,12,15,109,6.8,7,14,10,8,6,900,71,81,16,80,77
M (RC),18.962354551676935,11,10,11,0,0.0,9,9,8,12,13,1350,84,129,12,173,89
M (LC),19.260780287474333,11,15,12,0,0.0,7,11,9,17,9,700,56,75,12,173,62
ST (C),18.836413415468858,9,12,14,0,0.0,6,8,10,15,11,1350,79,135,12,173,85
"DM, M (C)",20.399726214921287,11,11,9,308,6.97,8,7,9,8,9,850,87,92,9,80,87
"DM, M/AM (C)",19.249828884325805,13,12,13,397,6.88,18,11,13,12,11,1500,80,97,13,80,82
ST (C),19.498973305954827,9,16,11,913,6.63,8,12,8,8,12,1850,90,103,10,80,92
D (C),17.95482546201232,13,14,9,0,0.0,13,11,8,8,7,300,44,65,8,80,46
"DM, M (C)",19.548254620123203,11,4,14,679,6.7,17,9,11,15,5,2250,96,124,10,160,96
M/AM (C),19.550992470910334,8,5,13,0,0.0,15,11,11,19,12,850,72,110,12,104,75
AM (RL),22.050650239561943,12,7,10,113,6.65,2,12,10,14,12,750,70,95,8,86,70
M/AM (R),21.672826830937716,14,9,10,170,6.9,11,8,11,10,12,1000,75,95,9,86,75
D/WB (R),19.312799452429843,12,16,10,0,0.0,7,13,10,8,8,1000,72,105,18,173,87
ST (C),18.910335386721425,13,15,15,2541,7.0,14,11,14,18,5,1550,101,137,12,120,116
M/AM (C),19.477070499657767,11,4,12,0,0.0,8,11,8,12,11,1000,72,94,18,173,77
D (C),18.55167693360712,10,4,11,0,0.0,7,12,13,11,5,1750,90,134,18,173,91
ST (C),19.802874743326488,8,16,11,587,6.83,11,10,9,16,9,2000,83,96,1,96,83
"AM (RL), ST (C)",19.45516769336071,11,8,13,0,0.0,14,11,10,19,7,650,47,103,18,173,51
M/AM (C),19.307323750855577,12,6,12,0,0.0,1,11,7,18,9,750,59,102,6,80,59
D (C),19.394934976043807,12,9,14,0,0.0,14,11,10,19,7,1000,78,110,10,120,82
"D (C), DM, M (C)",22.269678302532512,10,5,12,2413,6.81,6,10,10,7,5,2000,90,113,13,96,95
D/WB/M (R),19.51813826146475,14,16,17,1839,6.83,11,11,11,13,5,3650,107,155,15,140,124
